president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,1/20/2021,1/20/2017,1/22/2017,Gallup,B,1500,a,0.26232298,0,45,45,45.861441,43.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/21/2017,1/23/2017,Gallup,B,1500,a,0.24284463,0,45,46,45.861441,44.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/22/2017,1/24/2017,Gallup,B,1500,a,0.22737954,0,46,45,46.861441,43.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/23/2017,1/25/2017,Gallup,B,1500,a,0.21487688,0,46,45,46.861441,43.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/24/2017,1/26/2017,Gallup,B,1500,a,0.20464698,0,45,48,45.861441,46.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49242,77254,1/27/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/25/2017,1/27/2017,Gallup,B,1500,a,0.19621853,0,42,50,42.861441,48.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49257,77269,1/28/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/26/2017,1/28/2017,Gallup,B,1500,a,0.18925993,0,42,51,42.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49251,77263,1/29/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/27/2017,1/29/2017,Gallup,B,1500,a,0.18353335,0,43,50,43.861441,48.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49235,77247,1/30/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/28/2017,1/30/2017,Gallup,B,1500,a,0.17886687,0,43,51,43.861441,49.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49267,77279,1/31/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/29/2017,1/31/2017,Gallup,B,1500,a,0.17513695,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49244,77256,2/1/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/30/2017,2/1/2017,Gallup,B,1500,a,0.1722575,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49232,77244,2/2/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,1/31/2017,2/2/2017,Gallup,B,1500,a,0.17017311,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49233,77245,2/3/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/1/2017,2/3/2017,Gallup,B,1500,a,0.16833145,0,44,50,44.861441,48.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49248,77260,2/4/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/2/2017,2/4/2017,Gallup,B,1500,a,0.16670903,0,42,53,42.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49265,77277,2/5/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/3/2017,2/5/2017,Gallup,B,1500,a,0.16528638,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49261,77273,2/6/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/4/2017,2/6/2017,Gallup,B,1500,a,0.16404735,0,42,54,42.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49274,77288,2/7/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/5/2017,2/7/2017,Gallup,B,1500,a,0.16297863,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49291,77306,2/8/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/6/2017,2/8/2017,Gallup,B,1500,a,0.16206931,0,43,52,43.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49286,77301,2/9/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/7/2017,2/9/2017,Gallup,B,1500,a,0.16131057,0,42,52,42.861441,50.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49289,77304,2/10/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/8/2017,2/10/2017,Gallup,B,1500,a,0.16069545,0,41,53,41.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49283,77298,2/11/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/9/2017,2/11/2017,Gallup,B,1500,a,0.16021868,0,40,55,40.861441,53.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49285,77300,2/12/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/10/2017,2/12/2017,Gallup,B,1500,a,0.15987653,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49279,77294,2/13/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/11/2017,2/13/2017,Gallup,B,1500,a,0.15957436,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49282,77297,2/14/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/12/2017,2/14/2017,Gallup,B,1500,a,0.15931022,0,40,53,40.861441,51.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49298,77314,2/15/2017,11:47:59 20 Jan 2021
Donald Trump,All polls,1/20/2021,2/13/2017,2/15/2017,Gallup,B,1500,a,0.15908247,0,40,54,40.861441,52.539189,,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49303,77319,2/16/2017,11:47:59 20 Jan 2021
